	x	y
10x10	10	10
10x11	10	11
10x12	10	12
10x13	10	13
10x14	10	14
10x15	10	15
10x16	10	16
10x17	10	17
10x18	10	18
10x19	10	19
10x2	10	2
10x20	10	20
10x21	10	21
10x22	10	22
10x23	10	23
10x24	10	24
10x25	10	25
10x26	10	26
10x27	10	27
10x28	10	28
10x29	10	29
10x3	10	3
10x30	10	30
10x31	10	31
10x32	10	32
10x33	10	33
10x4	10	4
10x5	10	5
10x6	10	6
10x7	10	7
10x8	10	8
10x9	10	9
11x10	11	10
11x12	11	12
11x13	11	13
11x14	11	14
11x15	11	15
11x16	11	16
11x17	11	17
11x18	11	18
11x19	11	19
11x20	11	20
11x21	11	21
11x22	11	22
11x23	11	23
11x24	11	24
11x25	11	25
11x26	11	26
11x27	11	27
11x28	11	28
11x29	11	29
11x3	11	3
11x30	11	30
11x31	11	31
11x32	11	32
11x4	11	4
11x5	11	5
11x6	11	6
11x7	11	7
11x8	11	8
11x9	11	9
12x10	12	10
12x11	12	11
12x12	12	12
12x13	12	13
12x14	12	14
12x15	12	15
12x16	12	16
12x17	12	17
12x18	12	18
12x19	12	19
12x20	12	20
12x21	12	21
12x22	12	22
12x23	12	23
12x24	12	24
12x25	12	25
12x26	12	26
12x27	12	27
12x28	12	28
12x29	12	29
12x3	12	3
12x30	12	30
12x31	12	31
12x32	12	32
12x4	12	4
12x5	12	5
12x6	12	6
12x7	12	7
12x8	12	8
12x9	12	9
13x10	13	10
13x11	13	11
13x12	13	12
13x13	13	13
13x14	13	14
13x15	13	15
13x16	13	16
13x17	13	17
13x18	13	18
13x19	13	19
13x20	13	20
13x21	13	21
13x22	13	22
13x23	13	23
13x24	13	24
13x25	13	25
13x26	13	26
13x27	13	27
13x28	13	28
13x29	13	29
13x30	13	30
13x31	13	31
13x32	13	32
13x4	13	4
13x5	13	5
13x6	13	6
13x7	13	7
13x8	13	8
13x9	13	9
14x10	14	10
14x11	14	11
14x12	14	12
14x13	14	13
14x14	14	14
14x15	14	15
14x16	14	16
14x17	14	17
14x18	14	18
14x19	14	19
14x20	14	20
14x21	14	21
14x22	14	22
14x23	14	23
14x24	14	24
14x25	14	25
14x26	14	26
14x27	14	27
14x28	14	28
14x29	14	29
14x30	14	30
14x31	14	31
14x33	14	33
14x4	14	4
14x5	14	5
14x6	14	6
